#,Event,Date,Venue,Location,Attendance,url
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Assun%C3%A7%C3%A3o_vs._Moraes_2
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,"Brooklyn, New York, U.S.","12,152",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cejudo_vs._Dillashaw
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,"Inglewood, California, U.S.","15,862",https://en.wikipedia.org/wiki/UFC_232
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, U.S.","9,010",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lee_vs._Iaquinta_2
461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada","19,039",https://en.wikipedia.org/wiki/UFC_231
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia","8,652",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Tuivasa
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Pearl Theatre,"Las Vegas, Nevada, U.S.","2,020",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavy_Hitters#The_Ultimate_Fighter_28_Finale
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,"Beijing, China","10,302",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Ngannou_2
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Magny_vs._Ponzinibbio
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Pepsi Center,"Denver, Colorado, U.S.","11,426",https://en.wikipedia.org/wiki/UFC_Fight_Night:_The_Korean_Zombie_vs._Rodr%C3%ADguez
455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,"New York City, New York, U.S.","17,011",https://en.wikipedia.org/wiki/UFC_230
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada","6,282",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkan_vs._Smith
453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, U.S","20,034",https://en.wikipedia.org/wiki/UFC_229
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil","9,485",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Anders
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia","22,603",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Oleinik
450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,"Dallas, Texas, U.S.","14,073",https://en.wikipedia.org/wiki/UFC_228
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.","6,409",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gaethje_vs._Vick
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Staples Center,"Los Angeles, California, U.S.","17,794",https://en.wikipedia.org/wiki/UFC_227
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603",https://en.wikipedia.org/wiki/UFC_on_Fox:_Alvarez_vs._Poirier_2
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,"Hamburg, Germany","7,798",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Smith
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,"Boise, Idaho, U.S.","5,648",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Ivanov
444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S","17,464",https://en.wikipedia.org/wiki/UFC_226
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,123",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Undefeated#The_Ultimate_Fighter_27_Finale
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore","6,419",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Edwards
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,"Chicago, Illinois, U.S.","18,117",https://en.wikipedia.org/wiki/UFC_225
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,"Utica, New York, U.S.","5,063",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rivera_vs._Moraes
439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,"Liverpool, England, U.K.","8,520",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Till
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,"Santiago, Chile","11,082",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Usman
437,UFC 224: Nunes vs. Pennington,2018-05-12,Jeunesse Arena,"Rio de Janeiro, Brazil","10,696",https://en.wikipedia.org/wiki/UFC_224
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,541",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barboza_vs._Lee
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,"Glendale, Arizona, U.S.","11,382",https://en.wikipedia.org/wiki/UFC_on_Fox:_Poirier_vs._Gaethje
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,"Brooklyn, New York, U.S.","17,026",https://en.wikipedia.org/wiki/UFC_223
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,"London, England, U.K.","16,274",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Werdum_vs._Volkov
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,041",https://en.wikipedia.org/wiki/UFC_222
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Amway Center,"Orlando, Florida, U.S.","10,124",https://en.wikipedia.org/wiki/UFC_on_Fox:_Emmett_vs._Stephens
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,"Austin, Texas, U.S.","10,502",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Medeiros
429,UFC 221: Romero vs. Rockhold,2018-02-11,Perth Arena,"Perth, Australia","12,437",https://en.wikipedia.org/wiki/UFC_221
428,UFC Fight Night: Machida vs. Anders,2018-02-03,Arena Guilherme Paraense,"Belém, Brazil","10,144",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Anders
427,UFC on Fox: Jacaré vs. Brunson 2,2018-01-27,Spectrum Center,"Charlotte, North Carolina, U.S.","10,249",https://en.wikipedia.org/wiki/UFC_on_Fox:_Jacar%C3%A9_vs._Brunson_2
426,UFC 220: Miocic vs. Ngannou,2018-01-20,TD Garden,"Boston, Massachusetts, U.S.","16,015",https://en.wikipedia.org/wiki/UFC_220
425,UFC Fight Night: Stephens vs. Choi,2018-01-14,Scottrade Center,"St. Louis, Missouri, U.S.","10,052",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Stephens_vs._Choi
424,UFC 219: Cyborg vs. Holm,2017-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,561",https://en.wikipedia.org/wiki/UFC_219
423,UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Bell MTS Place,"Winnipeg, Manitoba, Canada","8,862",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
422,UFC Fight Night: Swanson vs. Ortega,2017-12-09,Save Mart Center,"Fresno, California, U.S.","7,605",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
421,UFC 218: Holloway vs. Aldo 2,2017-12-02,Little Caesars Arena,"Detroit, Michigan, U.S.","17,587",https://en.wikipedia.org/wiki/UFC_218
420,The Ultimate Fighter: A New World Champion Finale,2017-12-01,Park Theater,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_New_World_Champion#The_Ultimate_Fighter_26_Finale
419,UFC Fight Night: Bisping vs. Gastelum,2017-11-25,Mercedes-Benz Arena,"Shanghai, China","15,128",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bisping_vs._Gastelum
418,UFC Fight Night: Werdum vs. Tybura,2017-11-19,Qudos Bank Arena,"Sydney, Australia","10,021",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Werdum_vs._Tybura
417,UFC Fight Night: Poirier vs. Pettis,2017-11-11,Ted Constant Convocation Center,"Norfolk, Virginia, U.S.","8,442",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Poirier_vs._Pettis
416,UFC 217: Bisping vs. St-Pierre,2017-11-04,Madison Square Garden,"New York City, New York, U.S.","18,201",https://en.wikipedia.org/wiki/UFC_217
415,UFC Fight Night: Brunson vs. Machida,2017-10-28,Ginásio do Ibirapuera,"São Paulo, Brazil","10,265",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Machida
414,UFC Fight Night: Cowboy vs. Till,2017-10-21,Ergo Arena,"Gdańsk, Poland","11,138",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Till
413,UFC 216: Ferguson vs. Lee,2017-10-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","10,638",https://en.wikipedia.org/wiki/UFC_216
412,UFC Fight Night: Saint Preux vs. Okami,2017-09-23,Saitama Super Arena,"Saitama, Japan","8,571",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saint_Preux_vs._Okami
411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.","7,005",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Branch
410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Rogers Place,"Edmonton, Alberta, Canada","16,232",https://en.wikipedia.org/wiki/UFC_215
409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam Ahoy,"Rotterdam, Netherlands","10,224",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Struve
408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Arena Ciudad de México,"Mexico City, Mexico","10,172",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Pettis_vs._Moreno
407,UFC 214: Cormier vs. Jones 2,2017-07-29,Honda Center,"Anaheim, California, U.S.","16,610",https://en.wikipedia.org/wiki/UFC_214
406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,Nassau Veterans Memorial Coliseum,"Uniondale, New York, U.S.","11,198",https://en.wikipedia.org/wiki/UFC_on_Fox:_Weidman_vs._Gastelum
405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,The SSE Hydro,"Glasgow, Scotland, U.K.","10,589",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nelson_vs._Ponzinibbio
404,UFC 213: Romero vs. Whittaker,2017-07-08,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,834",https://en.wikipedia.org/wiki/UFC_213
403,The Ultimate Fighter: Redemption Finale,2017-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","6,308",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Redemption#The_Ultimate_Fighter_25_Finale
402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.","7,605",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Chiesa_vs._Lee
401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore Indoor Stadium,"Kallang, Singapore","8,414",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Correia
400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,Spark Arena,"Auckland, New Zealand","8,649",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Hunt
399,UFC 212: Aldo vs. Holloway,2017-06-03,Jeunesse Arena,"Rio de Janeiro, Brazil","15,412",https://en.wikipedia.org/wiki/UFC_212
398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Ericsson Globe,"Stockholm, Sweden","12,668",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Teixeira
397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,American Airlines Center,"Dallas, Texas, U.S.","17,834",https://en.wikipedia.org/wiki/UFC_211
396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,144",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Lobov
395,UFC on Fox: Johnson vs. Reis,2017-04-15,Sprint Center,"Kansas City, Missouri, U.S.","12,171",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Reis
394,UFC 210: Cormier vs. Johnson 2,2017-04-08,KeyBank Center,"Buffalo, New York, U.S.","17,110",https://en.wikipedia.org/wiki/UFC_210
393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,The O2 Arena,"London, England, U.K.","15,761",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson
392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum
391,UFC 209: Woodley vs. Thompson 2,2017-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,150",https://en.wikipedia.org/wiki/UFC_209
390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne
389,UFC 208: Holm vs. de Randamie,2017-02-11,Barclays Center,"Brooklyn, New York, U.S.","15,628",https://en.wikipedia.org/wiki/UFC_208
388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Toyota Center,"Houston, Texas, U.S.","8,119",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bermudez_vs._The_Korean_Zombie
387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,Pepsi Center,"Denver, Colorado, U.S.","13,233",https://en.wikipedia.org/wiki/UFC_on_Fox:_Shevchenko_vs._Pe%C3%B1a
386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","11,589",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Penn
385,UFC 207: Nunes vs. Rousey,2016-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,533",https://en.wikipedia.org/wiki/UFC_207
384,UFC on Fox: VanZant vs. Waterson,2016-12-17,Golden 1 Center,"Sacramento, California, U.S.","13,136",https://en.wikipedia.org/wiki/UFC_on_Fox:_VanZant_vs._Waterson
383,UFC 206: Holloway vs. Pettis,2016-12-10,Scotiabank Arena,"Toronto, Ontario, Canada","18,057",https://en.wikipedia.org/wiki/UFC_206
382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Times Union Center,"Albany, New York, U.S.","6,216",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Abdurakhimov
381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,044",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Tournament_of_Champions#The_Ultimate_Fighter_24_Finale
380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Rod Laver Arena,"Melbourne, Australia","13,721",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Whittaker_vs._Brunson
379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Ginásio do Ibirapuera,"São Paulo, Brazil","9,028",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bader_vs._Nogueira_2
378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,The SSE Arena,"Belfast, Northern Ireland, U.K.","7,222",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mousasi_vs._Hall_2
377,UFC 205: Alvarez vs. McGregor,2016-11-12,Madison Square Garden,"New York City, New York, U.S.","20,427",https://en.wikipedia.org/wiki/UFC_205
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,2016-11-05,Arena Ciudad de México,"Mexico City, Mexico","11,460",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Latin_America_3#The_Ultimate_Fighter_Latin_America_3_Finale:_dos_Anjos_vs._Ferguson
375,UFC 204: Bisping vs. Henderson 2,2016-10-08,Manchester Arena,"Manchester, England, U.K.","16,000",https://en.wikipedia.org/wiki/UFC_204
374,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Moda Center,"Portland, Oregon, U.S.","6,240",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lineker_vs._Dodson
373,UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,Ginásio Nilson Nelson,"Brasília, Brazil","8,410",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cyborg_vs._L%C3%A4nsberg
