#,Event,Date,Venue,Location,Attendance,url
229,UFC 157: Rousey vs. Carmouche,2013-02-23,Honda Center,"Anaheim, California, U.S.","13,257",https://en.wikipedia.org/wiki/UFC_157
228,UFC on Fuel TV: Barão vs. McDonald,2013-02-16,Wembley Arena,"London, England, U.K.","10,349",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Bar%C3%A3o_vs._McDonald
227,UFC 156: Aldo vs. Edgar,2013-02-02,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,275",https://en.wikipedia.org/wiki/UFC_156
226,UFC on Fox: Johnson vs. Dodson,2013-01-26,United Center,"Chicago, Illinois, U.S.","16,091",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Dodson
225,UFC on FX: Belfort vs. Bisping,2013-01-19,Ginásio do Ibirapuera,"São Paulo, Brazil","9,116",https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping
224,UFC 155: dos Santos vs. Velasquez 2,2012-12-29,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,561",https://en.wikipedia.org/wiki/UFC_155
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.","2,500",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Carwin_vs._Team_Nelson#The_Ultimate_Fighter_16_Finale
222,UFC on FX: Sotiropoulos vs. Pearson,2012-12-15,Gold Coast Convention and Exhibition Centre,"Gold Coast, Australia","5,133",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_The_Smashes#The_Ultimate_Fighter:_The_Smashes_Finale
221,UFC on Fox: Henderson vs. Diaz,2012-12-08,KeyArena,"Seattle, Washington, U.S.","14,387",https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Diaz
220,UFC 154: St-Pierre vs. Condit,2012-11-17,Bell Centre,"Montreal, Quebec, Canada","17,249",https://en.wikipedia.org/wiki/UFC_154
219,UFC on Fuel TV: Franklin vs. Le,2012-11-10,CotaiArena,"Macau, SAR, China","8,415",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Franklin_vs._Le
218,UFC 153: Silva vs. Bonnar,2012-10-13,HSBC Arena,"Rio de Janeiro, Brazil","16,844",https://en.wikipedia.org/wiki/UFC_153
217,UFC on FX: Browne vs. Bigfoot,2012-10-05,Target Center,"Minneapolis, Minnesota, U.S.","7,049",https://en.wikipedia.org/wiki/UFC_on_FX:_Browne_vs._Bigfoot
216,UFC on Fuel TV: Struve vs. Miocic,2012-09-29,Capital FM Arena,"Nottingham, England, U.K.","7,241",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Struve_vs._Miocic
215,UFC 152: Jones vs. Belfort,2012-09-22,Air Canada Centre,"Toronto, Ontario, Canada","16,800",https://en.wikipedia.org/wiki/UFC_152
214,UFC 150: Henderson vs. Edgar II,2012-08-11,Pepsi Center,"Denver, Colorado, U.S.","13,027",https://en.wikipedia.org/wiki/UFC_150
213,UFC on Fox: Shogun vs. Vera,2012-08-04,Staples Center,"Los Angeles, California, U.S.","16,080",https://en.wikipedia.org/wiki/UFC_on_Fox:_Shogun_vs._Vera
212,UFC 149: Faber vs. Barão,2012-07-21,Scotiabank Saddledome,"Calgary, Alberta, Canada","16,089",https://en.wikipedia.org/wiki/2012_in_UFC#UFC_149:_Faber_vs._Barão
211,UFC on Fuel TV: Muñoz vs. Weidman,2012-07-11,HP Pavilion,"San Jose, California, U.S.","4,250",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Mu%C3%B1oz_vs._Weidman
210,UFC 148: Silva vs. Sonnen II,2012-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","15,104",https://en.wikipedia.org/wiki/UFC_148
209,UFC 147: Silva vs. Franklin II,2012-06-23,Mineirinho Arena,"Belo Horizonte, Brazil","16,643",https://en.wikipedia.org/wiki/UFC_147
208,UFC on FX: Maynard vs. Guida,2012-06-22,Revel Casino Hotel,"Atlantic City, New Jersey, U.S.","4,652",https://en.wikipedia.org/wiki/UFC_on_FX:_Maynard_vs._Guida
207,UFC on FX: Johnson vs. McCall,2012-06-08,BankAtlantic Center,"Sunrise, Florida, U.S.","6,635",https://en.wikipedia.org/wiki/UFC_on_FX:_Johnson_vs._McCall
206,The Ultimate Fighter: Live Finale,2012-06-01,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,628",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Live#The_Ultimate_Fighter_15_Finale
205,UFC 146: dos Santos vs. Mir,2012-05-26,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,674",https://en.wikipedia.org/wiki/UFC_146
204,UFC on Fuel TV: The Korean Zombie vs. Poirier,2012-05-15,Patriot Center,"Fairfax, Virginia, U.S.","6,668",https://en.wikipedia.org/wiki/2012_in_UFC#UFC_on_Fuel_TV:_The_Korean_Zombie_vs._Poirier
203,UFC on Fox: Diaz vs. Miller,2012-05-05,IZOD Center,"East Rutherford, New Jersey, U.S.","10,788",https://en.wikipedia.org/wiki/UFC_on_Fox:_Diaz_vs._Miller
202,UFC 145: Jones vs. Evans,2012-04-21,Philips Arena,"Atlanta, Georgia, U.S.","15,545",https://en.wikipedia.org/wiki/UFC_145
201,UFC on Fuel TV: Gustafsson vs. Silva,2012-04-14,Ericsson Globe Arena,"Stockholm, Sweden","15,428",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Gustafsson_vs._Silva
200,UFC on FX: Alves vs. Kampmann,2012-03-03,Allphones Arena,"Sydney, Australia","14,537",https://en.wikipedia.org/wiki/UFC_on_FX:_Alves_vs._Kampmann
199,UFC 144: Edgar vs. Henderson,2012-02-26,Saitama Super Arena,"Saitama, Japan","21,000",https://en.wikipedia.org/wiki/UFC_144
198,UFC on Fuel TV: Sanchez vs. Ellenberger,2012-02-15,Omaha Civic Auditorium,"Omaha, Nebraska, U.S.","6,283",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Sanchez_vs._Ellenberger
197,UFC 143: Diaz vs. Condit,2012-02-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","9,015",https://en.wikipedia.org/wiki/UFC_143
196,UFC on Fox: Evans vs. Davis,2012-01-28,United Center,"Chicago, Illinois, U.S.","16,963",https://en.wikipedia.org/wiki/UFC_on_Fox:_Evans_vs._Davis
195,UFC on FX: Guillard vs. Miller,2012-01-20,Bridgestone Arena,"Nashville, Tennessee, U.S.","7,728",https://en.wikipedia.org/wiki/UFC_on_FX:_Guillard_vs._Miller
194,UFC 142: Aldo vs. Mendes,2012-01-14,HSBC Arena,"Rio de Janeiro, Brazil","10,605",https://en.wikipedia.org/wiki/UFC_142
193,UFC 141: Lesnar vs. Overeem,2011-12-30,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,793",https://en.wikipedia.org/wiki/UFC_141
192,UFC 140: Jones vs. Machida,2011-12-10,Air Canada Centre,"Toronto, Ontario, Canada","18,303",https://en.wikipedia.org/wiki/UFC_140
191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2011-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,909",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Bisping_vs._Team_Miller_Finale
190,UFC 139: Shogun vs. Henderson,2011-11-19,HP Pavilion,"San Jose, California, U.S.","13,832",https://en.wikipedia.org/wiki/UFC_139
189,UFC on Fox: Velasquez vs. dos Santos,2011-11-12,Honda Center,"Anaheim, California, U.S.","11,607",https://en.wikipedia.org/wiki/UFC_on_Fox:_Velasquez_vs._dos_Santos
188,UFC 138: Leben vs. Muñoz,2011-11-05,LG Arena,"Birmingham, England, U.K.","10,823",https://en.wikipedia.org/wiki/UFC_138
187,UFC 137: Penn vs. Diaz,2011-10-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,313",https://en.wikipedia.org/wiki/UFC_137
186,UFC 136: Edgar vs. Maynard III,2011-10-08,Toyota Center,"Houston, Texas, U.S.","16,164",https://en.wikipedia.org/wiki/UFC_136
185,UFC Live: Cruz vs. Johnson,2011-10-01,Verizon Center,"Washington, D.C., U.S.","9,380",https://en.wikipedia.org/wiki/UFC_Live:_Cruz_vs._Johnson
184,UFC 135: Jones vs. Rampage,2011-09-24,Pepsi Center,"Denver, Colorado, U.S.","16,344",https://en.wikipedia.org/wiki/UFC_135
183,UFC Fight Night: Shields vs. Ellenberger,2011-09-17,Ernest N. Morial Convention Center,"New Orleans, Louisiana, U.S.","7,112",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shields_vs._Ellenberger
182,UFC 134: Silva vs. Okami,2011-08-27,HSBC Arena,"Rio de Janeiro, Brazil","14,000",https://en.wikipedia.org/wiki/UFC_134
181,UFC Live: Hardy vs. Lytle,2011-08-14,Bradley Center,"Milwaukee, Wisconsin, U.S.","6,751",https://en.wikipedia.org/wiki/UFC_Live:_Hardy_vs._Lytle
180,UFC 133: Evans vs. Ortiz,2011-08-06,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,583",https://en.wikipedia.org/wiki/UFC_133
179,UFC 132: Cruz vs. Faber,2011-07-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,109",https://en.wikipedia.org/wiki/UFC_132
178,UFC Live: Kongo vs. Barry,2011-06-26,Consol Energy Center,"Pittsburgh, Pennsylvania, U.S.","7,792",https://en.wikipedia.org/wiki/UFC_Live:_Kongo_vs._Barry
177,UFC 131: dos Santos vs. Carwin,2011-06-11,Rogers Arena,"Vancouver, British Columbia, Canada","14,685",https://en.wikipedia.org/wiki/UFC_131
176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2011-06-04,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,053",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Lesnar_vs._Team_dos_Santos_Finale
175,UFC 130: Rampage vs. Hamill,2011-05-28,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,753",https://en.wikipedia.org/wiki/UFC_130
174,UFC 129: St-Pierre vs. Shields,2011-04-30,Rogers Centre,"Toronto, Ontario, Canada","55,724",https://en.wikipedia.org/wiki/UFC_129
173,UFC Fight Night: Nogueira vs. Davis,2011-03-26,KeyArena,"Seattle, Washington, U.S.","13,741",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nogueira_vs._Davis
172,UFC 128: Shogun vs. Jones,2011-03-19,Prudential Center,"Newark, New Jersey, U.S.","12,619",https://en.wikipedia.org/wiki/UFC_128
171,UFC Live: Sanchez vs. Kampmann,2011-03-03,KFC Yum! Center,"Louisville, Kentucky, U.S.","8,319",https://en.wikipedia.org/wiki/UFC_Live:_Sanchez_vs._Kampmann
170,UFC 127: Penn vs. Fitch,2011-02-27,Acer Arena,"Sydney, Australia","18,186",https://en.wikipedia.org/wiki/UFC_127
169,UFC 126: Silva vs. Belfort,2011-02-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,893",https://en.wikipedia.org/wiki/UFC_126
168,UFC: Fight for the Troops 2,2011-01-22,Fort Hood,"Fort Hood, Texas, U.S.","3,200",https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_2
167,UFC 125: Resolution,2011-01-01,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,874",https://en.wikipedia.org/wiki/UFC_125
166,UFC 124: St-Pierre vs. Koscheck 2,2010-12-11,Bell Centre,"Montreal, Quebec, Canada","23,152",https://en.wikipedia.org/wiki/UFC_124
165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2010-12-04,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,903",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_GSP_vs._Team_Koscheck_Finale
164,UFC 123: Rampage vs. Machida,2010-11-20,The Palace of Auburn Hills,"Auburn Hills, Michigan, U.S.","16,404",https://en.wikipedia.org/wiki/UFC_123
163,UFC 122: Marquardt vs. Okami,2010-11-13,König Pilsener Arena,"Oberhausen, Germany","8,421",https://en.wikipedia.org/wiki/UFC_122
162,UFC 121: Lesnar vs. Velasquez,2010-10-23,Honda Center,"Anaheim, California, U.S.","14,856",https://en.wikipedia.org/wiki/UFC_121
161,UFC 120: Bisping vs. Akiyama,2010-10-16,The O2 arena,"London, England, U.K.","17,133",https://en.wikipedia.org/wiki/UFC_120
160,UFC 119: Mir vs. Cro Cop,2010-09-25,Conseco Fieldhouse,"Indianapolis, Indiana, U.S.","15,811",https://en.wikipedia.org/wiki/UFC_119
159,UFC Fight Night: Marquardt vs. Palhares,2010-09-15,Frank Erwin Center,"Austin, Texas, U.S.","7,724",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Marquardt_vs._Palhares
158,UFC 118: Edgar vs. Penn 2,2010-08-28,TD Garden,"Boston, Massachusetts, U.S.","14,168",https://en.wikipedia.org/wiki/UFC_118
157,UFC 117: Silva vs. Sonnen,2010-08-07,Oracle Arena,"Oakland, California, U.S.","12,971",https://en.wikipedia.org/wiki/UFC_117
156,UFC Live: Jones vs. Matyushenko,2010-08-01,San Diego Sports Arena,"San Diego, California, U.S.","8,132",https://en.wikipedia.org/wiki/UFC_Live:_Jones_vs._Matyushenko
155,UFC 116: Lesnar vs. Carwin,2010-07-03,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,740",https://en.wikipedia.org/wiki/UFC_116
154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2010-06-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,708",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Liddell_vs._Team_Ortiz_Finale
153,UFC 115: Liddell vs. Franklin,2010-06-12,General Motors Place,"Vancouver, British Columbia, Canada","17,669",https://en.wikipedia.org/wiki/UFC_115
152,UFC 114: Rampage vs. Evans,2010-05-29,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,996",https://en.wikipedia.org/wiki/UFC_114
151,UFC 113: Machida vs. Shogun 2,2010-05-08,Bell Centre,"Montreal, Quebec, Canada","17,647",https://en.wikipedia.org/wiki/UFC_113
150,UFC 112: Invincible,2010-04-10,Yas Island,"Abu Dhabi, United Arab Emirates","11,008",https://en.wikipedia.org/wiki/UFC_112
149,UFC Fight Night: Florian vs. Gomi,2010-03-31,Bojangles Coliseum,"Charlotte, North Carolina, U.S.","7,700",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Florian_vs._Gomi
148,UFC 111: St-Pierre vs. Hardy,2010-03-27,Prudential Center,"Newark, New Jersey, U.S.","17,000",https://en.wikipedia.org/wiki/UFC_111
147,UFC Live: Vera vs. Jones,2010-03-21,1stBank Center,"Broomfield, Colorado, U.S.","6,443",https://en.wikipedia.org/wiki/UFC_Live:_Vera_vs._Jones
146,UFC 110: Nogueira vs. Velasquez,2010-02-21,Acer Arena,"Sydney, Australia","17,831",https://en.wikipedia.org/wiki/UFC_110
145,UFC 109: Relentless,2010-02-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,753",https://en.wikipedia.org/wiki/UFC_109
144,UFC Fight Night: Maynard vs. Diaz,2010-01-11,Patriot Center,"Fairfax, Virginia, U.S.","8,078",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz
143,UFC 108: Evans vs. Silva,2010-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,529",https://en.wikipedia.org/wiki/UFC_108
142,UFC 107: Penn vs. Sanchez,2009-12-12,FedExForum,"Memphis, Tennessee, U.S.","13,896",https://en.wikipedia.org/wiki/UFC_107
141,The Ultimate Fighter: Heavyweights Finale,2009-12-05,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,791",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale
140,UFC 106: Ortiz vs. Griffin 2,2009-11-21,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,529",https://en.wikipedia.org/wiki/UFC_106
139,UFC 105: Couture vs. Vera,2009-11-14,Manchester Evening News Arena,"Manchester, England, U.K.","16,693",https://en.wikipedia.org/wiki/UFC_105
138,UFC 104: Machida vs. Shogun,2009-10-24,Staples Center,"Los Angeles, California, U.S.","14,892",https://en.wikipedia.org/wiki/UFC_104
137,UFC 103: Franklin vs. Belfort,2009-09-19,American Airlines Center,"Dallas, Texas, U.S.","17,428",https://en.wikipedia.org/wiki/UFC_103
136,UFC Fight Night: Diaz vs. Guillard,2009-09-16,Cox Convention Center,"Oklahoma City, Oklahoma, U.S.","9,490",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Diaz_vs._Guillard
135,UFC 102: Couture vs. Nogueira,2009-08-29,Rose Garden,"Portland, Oregon, U.S.","16,088",https://en.wikipedia.org/wiki/UFC_102
134,UFC 101: Declaration,2009-08-08,Wachovia Center,"Philadelphia, Pennsylvania, U.S.","17,411",https://en.wikipedia.org/wiki/UFC_101
133,UFC 100,2009-07-11,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,871",https://en.wikipedia.org/wiki/UFC_100
132,The Ultimate Fighter: United States vs. United Kingdom Finale,2009-06-20,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,217",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_United_States_vs._United_Kingdom_Finale
131,UFC 99: The Comeback,2009-06-13,Lanxess Arena,"Cologne, Germany","12,854",https://en.wikipedia.org/wiki/UFC_99
130,UFC 98: Evans vs. Machida,2009-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,606",https://en.wikipedia.org/wiki/UFC_98
129,UFC 97: Redemption,2009-04-18,Bell Centre,"Montreal, Quebec, Canada","21,451",https://en.wikipedia.org/wiki/UFC_97
128,UFC Fight Night: Condit vs. Kampmann,2009-04-01,Sommet Center,"Nashville, Tennessee, U.S.","10,267",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Condit_vs._Kampmann
127,UFC 96: Jackson vs. Jardine,2009-03-07,Nationwide Arena,"Columbus, Ohio, U.S.","17,033",https://en.wikipedia.org/wiki/UFC_96
126,UFC 95: Sanchez vs. Stevenson,2009-02-21,The O2 arena,"London, England, U.K.","13,268",https://en.wikipedia.org/wiki/UFC_95
125,UFC Fight Night: Lauzon vs. Stephens,2009-02-07,USF Sun Dome,"Tampa, Florida, U.S.","7,596",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lauzon_vs._Stephens
124,UFC 94: St-Pierre vs. Penn 2,2009-01-31,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,885",https://en.wikipedia.org/wiki/UFC_94
123,UFC 93: Franklin vs. Henderson,2009-01-17,The O2,"Dublin, Ireland","9,369",https://en.wikipedia.org/wiki/UFC_93
122,UFC 92: The Ultimate 2008,2008-12-27,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,166",https://en.wikipedia.org/wiki/UFC_92
121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2008-12-13,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,853",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Nogueira_vs._Team_Mir_Finale
120,UFC: Fight for the Troops,2008-12-10,Crown Coliseum,"Fayetteville, North Carolina, U.S.","8,500",https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops
119,UFC 91: Couture vs. Lesnar,2008-11-15,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,272",https://en.wikipedia.org/wiki/UFC_91
118,UFC 90: Silva vs. Côté,2008-10-25,Allstate Arena,"Rosemont, Illinois, U.S.","15,359",https://en.wikipedia.org/wiki/UFC_90
117,UFC 89: Bisping vs. Leben,2008-10-18,National Indoor Arena,"Birmingham, England, U.K.","9,515",https://en.wikipedia.org/wiki/UFC_89
116,UFC Fight Night: Diaz vs. Neer,2008-09-17,Omaha Civic Auditorium,"Omaha, Nebraska, U.S.","9,103",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Diaz_vs._Neer
115,UFC 88: Breakthrough,2008-09-06,Philips Arena,"Atlanta, Georgia, U.S.","14,736",https://en.wikipedia.org/wiki/UFC_88
114,UFC 87: Seek and Destroy,2008-08-09,Target Center,"Minneapolis, Minnesota, U.S.","15,087",https://en.wikipedia.org/wiki/UFC_87
113,UFC Fight Night: Silva vs. Irvin,2008-07-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,071",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Silva_vs._Irvin
112,UFC 86: Jackson vs. Griffin,2008-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,990",https://en.wikipedia.org/wiki/UFC_86
111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2008-06-21,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,853",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rampage_vs._Team_Forrest_Finale
110,UFC 85: Bedlam,2008-06-07,The O2 arena,"London, England, U.K.","15,327",https://en.wikipedia.org/wiki/UFC_85
109,UFC 84: Ill Will,2008-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,773",https://en.wikipedia.org/wiki/UFC_84
108,UFC 83: Serra vs. St-Pierre 2,2008-04-19,Bell Centre,"Montreal, Quebec, Canada","21,390",https://en.wikipedia.org/wiki/UFC_83
107,UFC Fight Night: Florian vs. Lauzon,2008-04-02,Broomfield Event Center,"Broomfield, Colorado, U.S.","6,742",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Florian_vs._Lauzon
106,UFC 82: Pride of a Champion,2008-03-01,Nationwide Arena,"Columbus, Ohio, U.S.","16,431",https://en.wikipedia.org/wiki/UFC_82
105,UFC 81: Breaking Point,2008-02-02,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,583",https://en.wikipedia.org/wiki/UFC_81
104,UFC Fight Night: Swick vs. Burkman,2008-01-23,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,900",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swick_vs._Burkman
103,UFC 80: Rapid Fire,2008-01-19,Metro Radio Arena,"Newcastle upon Tyne, England, U.K.","8,412",https://en.wikipedia.org/wiki/UFC_80
102,UFC 79: Nemesis,2007-12-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,075",https://en.wikipedia.org/wiki/UFC_79
101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,Palms Casino Resort,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Hughes_vs._Team_Serra_Finale
100,UFC 78: Validation,2007-11-17,Prudential Center,"Newark, New Jersey, U.S.","14,071",https://en.wikipedia.org/wiki/UFC_78
099,UFC 77: Hostile Territory,2007-10-20,U.S. Bank Arena,"Cincinnati, Ohio, U.S.","16,054",https://en.wikipedia.org/wiki/UFC_77
098,UFC 76: Knockout,2007-09-22,Honda Center,"Anaheim, California, U.S.","13,770",https://en.wikipedia.org/wiki/UFC_76
097,UFC Fight Night: Thomas vs. Florian,2007-09-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thomas_vs._Florian
096,UFC 75: Champion vs. Champion,2007-09-08,The O2 arena,"London, England, U.K.","16,235",https://en.wikipedia.org/wiki/UFC_75
095,UFC 74: Respect,2007-08-25,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,065",https://en.wikipedia.org/wiki/UFC_74
094,UFC 73: Stacked,2007-07-07,ARCO Arena,"Sacramento, California, U.S.","13,183",https://en.wikipedia.org/wiki/UFC_73
093,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,Palms Casino Resort,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_5_Finale
092,UFC 72: Victory,2007-06-16,The Odyssey,"Belfast, Northern Ireland, U.K.","7,850",https://en.wikipedia.org/wiki/UFC_72
091,UFC Fight Night: Stout vs. Fisher,2007-06-12,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Stout_vs._Fisher
090,UFC 71: Liddell vs. Jackson,2007-05-26,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,728",https://en.wikipedia.org/wiki/UFC_71
089,UFC 70: Nations Collide,2007-04-21,Manchester Evening News Arena,"Manchester, England, U.K.","15,114",https://en.wikipedia.org/wiki/UFC_70
088,UFC 69: Shootout,2007-04-07,Toyota Center,"Houston, Texas, U.S.","15,269",https://en.wikipedia.org/wiki/UFC_69
087,UFC Fight Night: Stevenson vs. Guillard,2007-04-05,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,734",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Stevenson_vs._Guillard#UFC_Fight_Night:_Stevenson_vs._Guillard
086,UFC 68: The Uprising,2007-03-03,Nationwide Arena,"Columbus, Ohio, U.S.","19,079",https://en.wikipedia.org/wiki/UFC_68
085,UFC 67: All or Nothing,2007-02-03,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,787",https://en.wikipedia.org/wiki/UFC_67
084,UFC Fight Night: Evans vs. Salmon,2007-01-25,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","5,287",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Evans_vs._Salmon
083,UFC 66: Liddell vs. Ortiz,2006-12-30,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,671",https://en.wikipedia.org/wiki/UFC_66
082,UFC Fight Night: Sanchez vs. Riggs,2006-12-13,Marine Corps Air Station Miramar,"San Diego, California, U.S.","3,000",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Sanchez_vs._Riggs
081,UFC 65: Bad Intentions,2006-11-18,ARCO Arena,"Sacramento, California, U.S.","14,666",https://en.wikipedia.org/wiki/UFC_65
080,The Ultimate Fighter: The Comeback Finale,2006-11-11,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.","1,000",https://en.wikipedia.org/wiki/The_Ultimate_Fighter_4_Finale
079,UFC 64: Unstoppable,2006-10-14,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,173",https://en.wikipedia.org/wiki/UFC_64
078,UFC Fight Night 6.5,2006-10-10,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","3,510",https://en.wikipedia.org/wiki/Ortiz_vs._Shamrock_3:_The_Final_Chapter
077,UFC 63: Hughes vs. Penn,2006-09-23,Arrowhead Pond of Anaheim,"Anaheim, California, U.S.","12,604",https://en.wikipedia.org/wiki/UFC_63
076,UFC 62: Liddell vs. Sobral,2006-08-26,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,503",https://en.wikipedia.org/wiki/UFC_62
075,UFC Fight Night 6,2006-08-17,Red Rock Resort Spa and Casino,"Summerlin, Nevada, U.S.","1,412",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Sanchez_vs._Parisyan
074,UFC 61: Bitter Rivals,2006-07-08,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,167",https://en.wikipedia.org/wiki/UFC_61
073,UFC Ultimate Fight Night 5,2006-06-28,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",606,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_5
072,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",849,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_3_Finale
071,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,"Los Angeles, California, U.S.","14,765",https://en.wikipedia.org/wiki/UFC_60
