WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,wiki_url,event_order,Method_Cleaned,Card_Cleaned,Winner_Cleaned,Loser_Cleaned,Champion,Interim_Champion
Welterweight,Hector Lombard,vs,Josh Burkman,No Contest (overturned),3,5:00,"Originally a unanimous decision (30–27, 30–27, 29–28) victory for Lombard, the result was changed to ""No Contest"" after Lombard tested positive for desoxymethyltestosterone during a post-fight screening.[15]",Main Card,https://en.wikipedia.org/wiki/Hector_Lombard,https://en.wikipedia.org/wiki/Josh_Burkman,https://en.wikipedia.org/wiki/UFC_182,5,,Main Event,Hector Lombard,Josh Burkman,,
Lightweight,Paul Felder,def,Danny Castillo,KO (spinning back fist),2,2:09,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Paul_Felder,https://en.wikipedia.org/wiki/Danny_Castillo,https://en.wikipedia.org/wiki/UFC_182,6,KO,Prelim,Paul Felder,Danny Castillo,,
Bantamweight,Cody Garbrandt,def,Marcus Brimage,TKO (punches),3,4:50,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Cody_Garbrandt,https://en.wikipedia.org/wiki/Marcus_Brimage,https://en.wikipedia.org/wiki/UFC_182,7,KO,Prelim,Cody Garbrandt,Marcus Brimage,,
Heavyweight,Shawn Jordan,def,Jared Cannonier,KO (punches),1,2:57,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Shawn_Jordan,https://en.wikipedia.org/wiki/Jared_Cannonier,https://en.wikipedia.org/wiki/UFC_182,8,KO,Prelim,Shawn Jordan,Jared Cannonier,,
Lightweight,Evan Dunham,def,Rodrigo Damm,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Evan_Dunham,https://en.wikipedia.org/wiki/Rodrigo_Damm,https://en.wikipedia.org/wiki/UFC_182,9,Unanimous Decision,Prelim,Evan Dunham,Rodrigo Damm,,
Welterweight,Omari Akhmedov,def,Mats Nilsson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Omari_Akhmedov,https://en.wikipedia.org/wiki/Mats_Nilsson,https://en.wikipedia.org/wiki/UFC_182,10,Unanimous Decision,Prelim,Omari Akhmedov,Mats Nilsson,,
Catchweight (138 lbs),Marion Reneau,def,Alexis Dufresne,"Decision (unanimous) (30–26, 30–26, 30–25)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Marion_Reneau,,https://en.wikipedia.org/wiki/UFC_182,11,Unanimous Decision,Prelim,Marion Reneau,Alexis Dufresne,,
Middleweight,Lyoto Machida,def,C.B. Dollaway,TKO (body kick and punches),1,1:02,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Lyoto_Machida,https://en.wikipedia.org/wiki/C.B._Dollaway,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,1,KO,Main Event,Lyoto Machida,C.B. Dollaway,,
Bantamweight,Renan Barão,def,Mitch Gagnon,Submission (arm-triangle choke),3,3:53,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Renan_Bar%C3%A3o,https://en.wikipedia.org/wiki/Mitch_Gagnon,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,2,Sub,Main Event,Renan Barão,Mitch Gagnon,,
Light Heavyweight,Patrick Cummins,def,Antônio Carlos Júnior,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Patrick_Cummins_(fighter),https://en.wikipedia.org/wiki/Ant%C3%B4nio_Carlos_J%C3%BAnior,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,3,Unanimous Decision,Main Event,Patrick Cummins,Antônio Carlos Júnior,,
Lightweight,Rashid Magomedov,def,Elias Silvério,TKO (punches),3,4:57,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Rashid_Magomedov,https://en.wikipedia.org/wiki/Elias_Silv%C3%A9rio,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,4,KO,Main Event,Rashid Magomedov,Elias Silvério,,
Welterweight,Erick Silva,def,Mike Rhodes,Technical Submission (arm-triangle choke),1,1:15,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Erick_Silva,https://en.wikipedia.org/wiki/Mike_Rhodes_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,5,Sub,Main Event,Erick Silva,Mike Rhodes,,
Middleweight,Daniel Sarafian,def,Antônio dos Santos Jr.,TKO (finger injury),2,1:01,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Daniel_Sarafian,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,6,KO,Main Event,Daniel Sarafian,Antônio dos Santos Jr.,,
Light Heavyweight,Marcos Rogério de Lima,def,Igor Pokrajac,TKO (punches),1,1:59,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Marcos_Rog%C3%A9rio_de_Lima,https://en.wikipedia.org/wiki/Igor_Pokrajac,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,7,KO,Prelim,Marcos Rogério de Lima,Igor Pokrajac,,
Featherweight,Renato Moicano,def,Tom Niinimäki,Submission (rear-naked choke),2,3:30,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Renato_Moicano,https://en.wikipedia.org/wiki/Tom_Niinim%C3%A4ki,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,8,Sub,Prelim,Renato Moicano,Tom Niinimäki,,
Featherweight,Hacran Dias,def,Darren Elkins,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Hacran_Dias,https://en.wikipedia.org/wiki/Darren_Elkins,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,9,Unanimous Decision,Prelim,Hacran Dias,Darren Elkins,,
Bantamweight,Leandro Issa,def,Yuta Sasaki,Submission (rear-naked choke),2,4:13,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Leandro_Issa,https://en.wikipedia.org/wiki/Yuta_Sasaki,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,10,Sub,Prelim,Leandro Issa,Yuta Sasaki,,
Welterweight,Tim Means,def,Márcio Alexandre Jr.,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Tim_Means,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,11,Split Decision,Prelim,Tim Means,Márcio Alexandre Jr.,,
Middleweight,Vitor Miranda,def,Jake Collier,KO (head kick and punches),1,4:59,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Vitor_Miranda,https://en.wikipedia.org/wiki/Jake_Collier,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,12,KO,Prelim,Vitor Miranda,Jake Collier,,
Heavyweight,Junior dos Santos,def,Stipe Miocic,"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Junior_dos_Santos,https://en.wikipedia.org/wiki/Stipe_Miocic,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,1,Unanimous Decision,Main Event,Junior dos Santos,Stipe Miocic,,
Catchweight (160.6 lbs),Rafael dos Anjos,def,Nate Diaz,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Rafael_dos_Anjos,https://en.wikipedia.org/wiki/Nate_Diaz,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,2,Unanimous Decision,Main Event,Rafael dos Anjos,Nate Diaz,,
Heavyweight,Alistair Overeem,def,Stefan Struve,KO (punches),1,4:13,,Main Card (Fox),https://en.wikipedia.org/wiki/Alistair_Overeem,https://en.wikipedia.org/wiki/Stefan_Struve,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,3,KO,Main Event,Alistair Overeem,Stefan Struve,,
Heavyweight,Matt Mitrione,def,Gabriel Gonzaga,TKO (punches),1,1:59,,Main Card (Fox),https://en.wikipedia.org/wiki/Matt_Mitrione,https://en.wikipedia.org/wiki/Gabriel_Gonzaga,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,4,KO,Main Event,Matt Mitrione,Gabriel Gonzaga,,
Women's Strawweight,Joanna Jędrzejczyk,def,Cláudia Gadelha,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Joanna_J%C4%99drzejczyk,https://en.wikipedia.org/wiki/Cl%C3%A1udia_Gadelha,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,5,Split Decision,Prelim,Joanna Jędrzejczyk,Cláudia Gadelha,,
Flyweight,John Moraga,def,Willie Gates,Submission (rear-naked choke),3,4:06,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/John_Moraga,https://en.wikipedia.org/wiki/Willie_Gates,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,6,Sub,Prelim,John Moraga,Willie Gates,,
Welterweight,Ben Saunders,def,Joe Riggs,Submission (neck injury),1,0:57,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),https://en.wikipedia.org/wiki/Joe_Riggs,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,7,Sub,Prelim,Ben Saunders,Joe Riggs,,
Lightweight,Drew Dober,def,Jamie Varner,Submission (rear-naked choke),1,1:52,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Drew_Dober,https://en.wikipedia.org/wiki/Jamie_Varner,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,8,Sub,Prelim,Drew Dober,Jamie Varner,,
Lightweight,Bryan Barberena,def,Joe Ellenberger,TKO (elbows and punches),3,3:24,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Bryan_Barberena,,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,9,KO,Prelim,Bryan Barberena,Joe Ellenberger,,
Lightweight,David Michaud,def,Garett Whiteley,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/David_Michaud,https://en.wikipedia.org/wiki/Garett_Whiteley,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,10,Unanimous Decision,Prelim,David Michaud,Garett Whiteley,,
Bantamweight,Henry Cejudo,def,Dustin Kimura,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Henry_Cejudo,https://en.wikipedia.org/wiki/Dustin_Kimura,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,11,Unanimous Decision,Prelim,Henry Cejudo,Dustin Kimura,,
Bantamweight,Ian Entwistle,def,Anthony Birchak,Submission (heel hook),1,1:04,This bout aired on the Fox Sports 1 prelims broadcast after Saunders vs. Riggs fight.,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Ian_Entwistle,https://en.wikipedia.org/wiki/Anthony_Birchak,https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,12,Sub,Prelim,Ian Entwistle,Anthony Birchak,,
Women's Strawweight,Carla Esparza,def,Rose Namajunas,Submission (rear-naked choke),3,1:26,For the inaugural UFC Women's Strawweight Championship.,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Carla_Esparza,https://en.wikipedia.org/wiki/Rose_Namajunas,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,1,Sub,Main Event,Carla Esparza,Rose Namajunas,,
Catchweight (146.5 lbs),Charles Oliveira,def,Jeremy Stephens,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Charles_Oliveira,https://en.wikipedia.org/wiki/Jeremy_Stephens,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,2,Unanimous Decision,Main Event,Charles Oliveira,Jeremy Stephens,,
Lightweight,K.J. Noons,vs,Daron Cruickshank,No Contest (accidental eye poke),2,0:25,"An accidental eye poke rendered Cruickshank unable to continue; as the fight had not reached the third round, it was declared a No Contest.",Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/K.J._Noons,https://en.wikipedia.org/wiki/Daron_Cruickshank,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,3,,Main Event,K.J. Noons,Daron Cruickshank,,
Lightweight,Yancy Medeiros,def,Joe Proctor,Submission (guillotine choke),1,4:37,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Yancy_Medeiros,https://en.wikipedia.org/wiki/Joe_Proctor,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,4,Sub,Main Event,Yancy Medeiros,Joe Proctor,,
Women's Strawweight,Jessica Penne,def,Randa Markos,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Jessica_Penne,https://en.wikipedia.org/wiki/Randa_Markos,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,5,Split Decision,Main Event,Jessica Penne,Randa Markos,,
Women's Strawweight,Felice Herrig,def,Lisa Ellis,Submission (armbar),2,3:05,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Felice_Herrig,https://en.wikipedia.org/wiki/Lisa_Ellis,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,6,Sub,Prelim,Felice Herrig,Lisa Ellis,,
Women's Strawweight,Heather Jo Clark,def,Bec Rawlings,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Heather_Jo_Clark,https://en.wikipedia.org/wiki/Bec_Rawlings,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,7,Unanimous Decision,Prelim,Heather Jo Clark,Bec Rawlings,,
Women's Strawweight,Joanne Calderwood,def,Seo Hee Ham,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Joanne_Calderwood,https://en.wikipedia.org/wiki/Seo_Hee_Ham,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,8,Unanimous Decision,Prelim,Joanne Calderwood,Seo Hee Ham,,
Women's Strawweight,Tecia Torres,def,Angela Magaña,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Tecia_Torres,https://en.wikipedia.org/wiki/Angela_Maga%C3%B1a,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,9,Unanimous Decision,Prelim,Tecia Torres,Angela Magaña,,
Catchweight (118 lbs),Aisling Daly,def,Alex Chambers,Submission (armbar),1,4:53,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Aisling_Daly,https://en.wikipedia.org/wiki/Alex_Chambers,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,10,Sub,Prelim,Aisling Daly,Alex Chambers,,
Women's Strawweight,Angela Hill,def,Emily Kagan,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Angela_Hill_(fighter),https://en.wikipedia.org/wiki/Emily_Kagan,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,11,Unanimous Decision,Prelim,Angela Hill,Emily Kagan,,
Welterweight,Robbie Lawler,def,Johny Hendricks (c),"Decision (split) (48–47, 47–48, 49–46)",5,5:00,For the UFC Welterweight Championship.,Main Card,https://en.wikipedia.org/wiki/Robbie_Lawler,https://en.wikipedia.org/wiki/Johny_Hendricks,https://en.wikipedia.org/wiki/UFC_181,1,Split Decision,Main Event,Robbie Lawler,Johny Hendricks,Johny Hendricks,
Lightweight,Anthony Pettis (c),def,Gilbert Melendez,Submission (guillotine choke),2,1:53,For the UFC Lightweight Championship.,Main Card,https://en.wikipedia.org/wiki/Anthony_Pettis,https://en.wikipedia.org/wiki/Gilbert_Melendez,https://en.wikipedia.org/wiki/UFC_181,2,Sub,Main Event,Anthony Pettis,Gilbert Melendez,Anthony Pettis,
Heavyweight,Travis Browne,def,Brendan Schaub,TKO (punches),1,4:50,,Main Card,https://en.wikipedia.org/wiki/Travis_Browne,https://en.wikipedia.org/wiki/Brendan_Schaub,https://en.wikipedia.org/wiki/UFC_181,3,KO,Main Event,Travis Browne,Brendan Schaub,,
Heavyweight,Todd Duffee,def,Anthony Hamilton,KO (punch),1,0:33,,Main Card,https://en.wikipedia.org/wiki/Todd_Duffee,https://en.wikipedia.org/wiki/Anthony_Hamilton_(fighter),https://en.wikipedia.org/wiki/UFC_181,4,KO,Main Event,Todd Duffee,Anthony Hamilton,,
Lightweight,Tony Ferguson,def,Abel Trujillo,Submission (rear-naked choke),2,4:19,,Main Card,https://en.wikipedia.org/wiki/Tony_Ferguson,https://en.wikipedia.org/wiki/Abel_Trujillo,https://en.wikipedia.org/wiki/UFC_181,5,Sub,Main Event,Tony Ferguson,Abel Trujillo,,
Bantamweight,Urijah Faber,def,Francisco Rivera,Submission (bulldog choke),2,1:34,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Urijah_Faber,https://en.wikipedia.org/wiki/Francisco_Rivera_(fighter),https://en.wikipedia.org/wiki/UFC_181,6,Sub,Prelim,Urijah Faber,Francisco Rivera,,
Middleweight,Josh Samman,def,Eddie Gordon,KO (head kick),2,3:08,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Josh_Samman,https://en.wikipedia.org/wiki/Eddie_Gordon_(fighter),https://en.wikipedia.org/wiki/UFC_181,7,KO,Prelim,Josh Samman,Eddie Gordon,,
Light Heavyweight,Corey Anderson,def,Justin Jones,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Corey_Anderson_(fighter),,https://en.wikipedia.org/wiki/UFC_181,8,Unanimous Decision,Prelim,Corey Anderson,Justin Jones,,
Women's Bantamweight,Raquel Pennington,def,Ashlee Evans-Smith,Technical Submission (bulldog choke),1,4:59,Evans-Smith tested positive for a diuretic in her post-fight drug test.,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Raquel_Pennington,https://en.wikipedia.org/wiki/Ashlee_Evans-Smith,https://en.wikipedia.org/wiki/UFC_181,9,Sub,Prelim,Raquel Pennington,Ashlee Evans-Smith,,
Bantamweight,Sergio Pettis,def,Matt Hobar,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Sergio_Pettis,https://en.wikipedia.org/wiki/Matt_Hobar,https://en.wikipedia.org/wiki/UFC_181,10,Unanimous Decision,Prelim,Sergio Pettis,Matt Hobar,,
Featherweight,Clay Collard,def,Alex White,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Clay_Collard,https://en.wikipedia.org/wiki/Alex_White_(fighter),https://en.wikipedia.org/wiki/UFC_181,11,Unanimous Decision,Prelim,Clay Collard,Alex White,,
Featherweight,Frankie Edgar,def,Cub Swanson,Submission (rear-naked choke),5,4:56,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Frankie_Edgar,https://en.wikipedia.org/wiki/Cub_Swanson,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,1,Sub,Main Event,Frankie Edgar,Cub Swanson,,
Lightweight,Edson Barboza,def,Bobby Green,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Edson_Barboza,https://en.wikipedia.org/wiki/Bobby_Green_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,2,Unanimous Decision,Main Event,Edson Barboza,Bobby Green,,
Flyweight,Chico Camus,def,Brad Pickett,"Decision (split) (29–28, 27–30, 29–28)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Chico_Camus,https://en.wikipedia.org/wiki/Brad_Pickett,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,3,Split Decision,Main Event,Chico Camus,Brad Pickett,,
Heavyweight,Aleksei Oleinik,def,Jared Rosholt,KO (punches),1,3:21,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Aleksei_Oleinik,https://en.wikipedia.org/wiki/Jared_Rosholt,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,4,KO,Main Event,Aleksei Oleinik,Jared Rosholt,,
Flyweight,Joseph Benavidez,def,Dustin Ortiz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Joseph_Benavidez,https://en.wikipedia.org/wiki/Dustin_Ortiz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,5,Unanimous Decision,Main Event,Joseph Benavidez,Dustin Ortiz,,
Lightweight,Matt Wiman,def,Isaac Vallie-Flagg,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Matt_Wiman,https://en.wikipedia.org/wiki/Isaac_Vallie-Flagg,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,6,Unanimous Decision,Main Event,Matt Wiman,Isaac Vallie-Flagg,,
Heavyweight,Ruslan Magomedov,def,Josh Copeland,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Ruslan_Magomedov,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,7,Unanimous Decision,Prelim,Ruslan Magomedov,Josh Copeland,,
Middleweight,Roger Narvaez,def,Luke Barnatt,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Roger_Narvaez,https://en.wikipedia.org/wiki/Luke_Barnatt,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,8,Split Decision,Prelim,Roger Narvaez,Luke Barnatt,,
Lightweight,James Vick,def,Nick Hein,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/James_Vick,https://en.wikipedia.org/wiki/Nick_Hein,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,9,Unanimous Decision,Prelim,James Vick,Nick Hein,,
Lightweight,Akbarh Arreola,def,Yves Edwards,Submission (armbar),1,1:52,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Akbarh_Arreola,https://en.wikipedia.org/wiki/Yves_Edwards,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,10,Sub,Prelim,Akbarh Arreola,Yves Edwards,,
Women's Strawweight,Paige VanZant,def,Kailin Curran,TKO (punches),3,2:54,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Paige_VanZant,https://en.wikipedia.org/wiki/Kailin_Curran,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,11,KO,Prelim,Paige VanZant,Kailin Curran,,
Featherweight,Doo Ho Choi,def,Juan Puig,TKO (punches),1,0:18,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Doo_Ho_Choi,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,12,KO,Prelim,Doo Ho Choi,Juan Puig,,
Heavyweight,Fabrício Werdum,def,Mark Hunt,TKO (flying knee and punches),2,2:27,For the interim UFC Heavyweight Championship.,Main card,https://en.wikipedia.org/wiki/Fabr%C3%ADcio_Werdum,https://en.wikipedia.org/wiki/Mark_Hunt,https://en.wikipedia.org/wiki/UFC_180,1,KO,Main Event,Fabrício Werdum,Mark Hunt,,
Welterweight,Kelvin Gastelum,def,Jake Ellenberger,Submission (rear-naked choke),1,4:46,,Main card,https://en.wikipedia.org/wiki/Kelvin_Gastelum,https://en.wikipedia.org/wiki/Jake_Ellenberger,https://en.wikipedia.org/wiki/UFC_180,2,Sub,Main Event,Kelvin Gastelum,Jake Ellenberger,,
Featherweight,Ricardo Lamas,def,Dennis Bermudez,Submission (guillotine choke),1,3:18,,Main card,https://en.wikipedia.org/wiki/Ricardo_Lamas,https://en.wikipedia.org/wiki/Dennis_Bermudez,https://en.wikipedia.org/wiki/UFC_180,3,Sub,Main Event,Ricardo Lamas,Dennis Bermudez,,
Welterweight,Augusto Montaño,def,Chris Heatherly,TKO (knees),1,4:50,,Main card,https://en.wikipedia.org/wiki/Augusto_Monta%C3%B1o,https://en.wikipedia.org/wiki/Chris_Heatherly,https://en.wikipedia.org/wiki/UFC_180,4,KO,Main Event,Augusto Montaño,Chris Heatherly,,
Welterweight,Héctor Urbina,def,Edgar García,Submission (guillotine choke),1,3:38,,Main card,https://en.wikipedia.org/wiki/H%C3%A9ctor_Urbina,https://en.wikipedia.org/wiki/Edgar_Garc%C3%ADa,https://en.wikipedia.org/wiki/UFC_180,5,Sub,Main Event,Héctor Urbina,Edgar García,,
Featherweight,Yair Rodríguez,def,Leonardo Morales,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,The Ultimate Fighter: Latin America Featherweight Final,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Yair_Rodr%C3%ADguez,,https://en.wikipedia.org/wiki/UFC_180,6,Unanimous Decision,Prelim,Yair Rodríguez,Leonardo Morales,,
Bantamweight,Alejandro Pérez,def,José Alberto Quiñónez,"Decision (unanimous) (29–26, 29–26, 28–27)",3,5:00,The Ultimate Fighter: Latin America Bantamweight Final; Quiñónez was docked two points in round 3 due to a headbutt.,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Alejandro_P%C3%A9rez_(fighter),https://en.wikipedia.org/wiki/Jos%C3%A9_Alberto_Qui%C3%B1%C3%B3nez,https://en.wikipedia.org/wiki/UFC_180,7,Unanimous Decision,Prelim,Alejandro Pérez,José Alberto Quiñónez,,
