#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,Intrust Bank Arena,"Wichita, Kansas, U.S.","7,265",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._dos_Santos,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
469,UFC 235: Jones vs. Smith,2019-03-02,T-Mobile Arena,"Las Vegas, Nevada, U.S","14,790",https://en.wikipedia.org/wiki/UFC_235,https://www.bestfightodds.com/events/ufc-235-jones-vs-smith-1625
468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,O2 arena,"Prague, Czech Republic","16,583",https://en.wikipedia.org/wiki/UFC_Fight_Night:_B%C5%82achowicz_vs._Santos,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","14,269",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._Velasquez,https://www.bestfightodds.com/events/ufc-on-espn-1-ngannou-vs-velasquez-1637
466,UFC 234: Adesanya vs. Silva,2019-02-10,Rod Laver Arena,"Melbourne, Australia","15,238",https://en.wikipedia.org/wiki/UFC_234,https://www.bestfightodds.com/events/ufc-234-adesanya-vs-silva-1620
465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Assun%C3%A7%C3%A3o_vs._Moraes_2,https://www.bestfightodds.com/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628
464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,"Brooklyn, New York, U.S.","12,152",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cejudo_vs._Dillashaw,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623
463,UFC 232: Jones vs. Gustafsson 2,2018-12-29,The Forum,"Inglewood, California, U.S.","15,862",https://en.wikipedia.org/wiki/UFC_232,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
462,UFC on Fox: Lee vs. Iaquinta 2,2018-12-15,Fiserv Forum,"Milwaukee, Wisconsin, U.S.","9,010",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lee_vs._Iaquinta_2,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
461,UFC 231: Holloway vs. Ortega,2018-12-08,Scotiabank Arena,"Toronto, Ontario, Canada","19,039",https://en.wikipedia.org/wiki/UFC_231,https://www.bestfightodds.com/events/ufc-231-holloway-vs-ortega-1584
460,UFC Fight Night: dos Santos vs. Tuivasa,2018-12-02,Adelaide Entertainment Centre,"Adelaide, Australia","8,652",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Tuivasa,https://www.bestfightodds.com/events/ufc-fight-night-142-dos-santos-vs-tuivasa-1574
