Winner_Cleaned,Loser_Cleaned,wiki_url,fighter1,fighter2,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,fight_odds_url,Card_Date,#,Event
Stipe Miocic,Gabriel Gonzaga,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson,Gabriel Gonzaga,Stipe Miocic,Stipe Miocic,Gabriel Gonzaga,Heavyweight,Stipe Miocic,def,Gabriel Gonzaga,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Stipe_Miocic,https://en.wikipedia.org/wiki/Gabriel_Gonzaga,2,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777,2014-01-25,260,UFC on Fox: Henderson vs. Thomson
Donald Cerrone,Adriano Martins,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson,Adriano Martins,Donald Cerrone,Donald Cerrone,Adriano Martins,Lightweight,Donald Cerrone,def,Adriano Martins,KO (head kick),1.0,4:40,,Main Card (Fox),https://en.wikipedia.org/wiki/Donald_Cerrone,https://en.wikipedia.org/wiki/Adriano_Martins,3,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777,2014-01-25,260,UFC on Fox: Henderson vs. Thomson
Jeremy Stephens,Darren Elkins,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson,Darren Elkins,Jeremy Stephens,Jeremy Stephens,Darren Elkins,Featherweight,Jeremy Stephens,def,Darren Elkins,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Jeremy_Stephens,https://en.wikipedia.org/wiki/Darren_Elkins,4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777,2014-01-25,260,UFC on Fox: Henderson vs. Thomson
Hugo Viana,Junior Hernandez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson,Hugo Viana,Ramiro Hernandez,Hugo Viana,Ramiro Hernandez,Bantamweight,Hugo Viana,def,Junior Hernandez,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Hugo_Viana_(fighter),,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777,2014-01-25,260,UFC on Fox: Henderson vs. Thomson
Brad Tavares,Lorenz Larkin,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Brad Tavares,Lorenz Larkin,Brad Tavares,Lorenz Larkin,Middleweight,Brad Tavares,def,Lorenz Larkin,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Brad_Tavares,https://en.wikipedia.org/wiki/Lorenz_Larkin,2,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Cole Miller,Sam Sicilia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Cole Miller,Sam Sicilia,Cole Miller,Sam Sicilia,Featherweight,Cole Miller,def,Sam Sicilia,Submission (rear-naked choke),2.0,1:54,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Cole_Miller,https://en.wikipedia.org/wiki/Sam_Sicilia,6,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Elias Silvério,Isaac Vallie-Flagg,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Elias Silverio,Isaac Vallie-Flagg,Elias Silverio,Isaac Vallie-Flagg,Lightweight,Elias Silvério,def,Isaac Vallie-Flagg,"Decision (unanimous) (29–27, 29–27, 29–27)",3.0,5:00,Silverio had 1 point deducted in round 2 due to an illegal knee to a downed opponent.,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Elias_Silv%C3%A9rio,https://en.wikipedia.org/wiki/Isaac_Vallie-Flagg,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Beneil Dariush,Charlie Brenneman,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Beneil Dariush,Charlie Brenneman,Beneil Dariush,Charlie Brenneman,Lightweight,Beneil Dariush,def,Charlie Brenneman,Submission (rear-naked choke),1.0,1:45,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Charlie_Brenneman,12,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
T.J. Dillashaw,Mike Easton,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Mike Easton,T.J. Dillashaw,T.J. Dillashaw,Mike Easton,Bantamweight,T.J. Dillashaw,def,Mike Easton,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/T.J._Dillashaw,https://en.wikipedia.org/wiki/Mike_Easton,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Yoel Romero,Derek Brunson,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Derek Brunson,Yoel Romero,Yoel Romero,Derek Brunson,Middleweight,Yoel Romero,def,Derek Brunson,TKO (punches and elbows),3.0,3:23,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Yoel_Romero,https://en.wikipedia.org/wiki/Derek_Brunson,4,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
John Moraga,Dustin Ortiz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Dustin Ortiz,John Moraga,John Moraga,Dustin Ortiz,Flyweight,John Moraga,def,Dustin Ortiz,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/John_Moraga,https://en.wikipedia.org/wiki/Dustin_Ortiz,5,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Ramsey Nijem,Justin Edwards,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Justin Edwards,Ramsey Nijem,Ramsey Nijem,Justin Edwards,Lightweight,Ramsey Nijem,def,Justin Edwards,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Ramsey_Nijem,https://en.wikipedia.org/wiki/Justin_Edwards_(fighter),7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Trevor Smith,Brian Houston,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Brian Houston,Trevor Smith,Trevor Smith,Brian Houston,Middleweight,Trevor Smith,def,Brian Houston,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Trevor_Smith_(fighter),,9,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Louis Smolka,Alptekin Özkılıç,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Alptekin Ozkilic,Louis Smolka,Louis Smolka,Alptekin Ozkilic,Flyweight,Louis Smolka,def,Alptekin Özkılıç,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Louis_Smolka,https://en.wikipedia.org/wiki/Alptekin_%C3%96zk%C4%B1l%C4%B1%C3%A7,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Vinc Pichel,Garett Whiteley,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Garett Whiteley,Vinc Pichel,Vinc Pichel,Garett Whiteley,Lightweight,Vinc Pichel,def,Garett Whiteley,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Vinc_Pichel,https://en.wikipedia.org/wiki/Garett_Whiteley,11,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Luke Rockhold,Costas Philippou,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Constantinos Philippou,Luke Rockhold,Luke Rockhold,Constantinos Philippou,Middleweight,Luke Rockhold,def,Costas Philippou,TKO (body kick),1.0,2:31,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Luke_Rockhold,https://en.wikipedia.org/wiki/Costas_Philippou,1,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou
Kyung Ho Kang,Shunichi Shimizu,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Kyung Ho Kang,Shunichi Shimizu,Kyung Ho Kang,Shunichi Shimizu,Bantamweight,Kyung Ho Kang,def,Shunichi Shimizu,Submission (arm-triangle choke),3.0,3:53,Kang had 2 points deducted in round 1 due to two 12-6 elbows.,Main Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Kyung_Ho_Kang,https://en.wikipedia.org/wiki/Shunichi_Shimizu,4,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Max Holloway,Will Chope,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Max Holloway,Will Chope,Max Holloway,Will Chope,Featherweight,Max Holloway,def,Will Chope,TKO (punches),2.0,2:27,This bout aired on the broadcast following the Kawajiri vs Soriano bout.,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Max_Holloway,,5,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Katsunori Kikuno,Quinn Mulhern,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Katsunori Kikuno,Quinn Mulhern,Katsunori Kikuno,Quinn Mulhern,Lightweight,Katsunori Kikuno,def,Quinn Mulhern,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Katsunori_Kikuno,https://en.wikipedia.org/wiki/Quinn_Mulhern,6,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Mairbek Taisumov,Tae Hyun Bang,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Mairbek Taisumov,Tae Hyun Bang,Mairbek Taisumov,Tae Hyun Bang,Lightweight,Mairbek Taisumov,def,Tae Hyun Bang,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Mairbek_Taisumov,https://en.wikipedia.org/wiki/Tae_Hyun_Bang,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Dustin Kimura,Jon delos Reyes,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Dustin Kimura,Jon Delos Reyes,Dustin Kimura,Jon Delos Reyes,Bantamweight,Dustin Kimura,def,Jon delos Reyes,Submission (armbar),1.0,2:13,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Dustin_Kimura,https://en.wikipedia.org/wiki/Jon_delos_Reyes,9,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Tarec Saffiedine,Hyun Gyu Lim,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Hyun Gyu Lim,Tarec Saffiedine,Tarec Saffiedine,Hyun Gyu Lim,Welterweight,Tarec Saffiedine,def,Hyun Gyu Lim,"Decision (unanimous) (49–46, 48–47, 48–47)",5.0,5:00,,Main Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Tarec_Saffiedine,https://en.wikipedia.org/wiki/Hyun_Gyu_Lim,1,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Tatsuya Kawajiri,Sean Soriano,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Sean Soriano,Tatsuya Kawajiri,Tatsuya Kawajiri,Sean Soriano,Featherweight,Tatsuya Kawajiri,def,Sean Soriano,Submission (rear-naked choke),2.0,0:50,,Main Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Tatsuya_Kawajiri,https://en.wikipedia.org/wiki/Sean_Soriano,2,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Russell Doane,Leandro Issa,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,Leandro Issa,Russell Doane,Russell Doane,Leandro Issa,Bantamweight,Russell Doane,def,Leandro Issa,Technical Submission (triangle choke),2.0,4:59,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Russell_Doane,https://en.wikipedia.org/wiki/Leandro_Issa,10,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
Royston Wee,Dave Galera,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim,David Galera,Royston Wee,Royston Wee,David Galera,Bantamweight,Royston Wee,def,Dave Galera,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,5:00,Galera had 1 point deducted in round 3 due to an illegal upkick.,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Royston_Wee,,7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-34-saffiedine-vs-lim-761,2014-01-04,258,UFC Fight Night: Saffiedine vs. Lim
John Howard,Siyar Bahadurzada,https://en.wikipedia.org/wiki/UFC_168,John Howard,Siyar Bahadurzada,John Howard,Siyar Bahadurzada,Welterweight,John Howard,def,Siyar Bahadurzada,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/John_Howard_(fighter),https://en.wikipedia.org/wiki/Siyar_Bahadurzada,9,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Chris Weidman,Anderson Silva,https://en.wikipedia.org/wiki/UFC_168,Anderson Silva,Chris Weidman,Chris Weidman,Anderson Silva,Middleweight,Chris Weidman (c),def,Anderson Silva,TKO (broken leg),2.0,1:16,For the UFC Middleweight Championship.,Main card,https://en.wikipedia.org/wiki/Chris_Weidman,https://en.wikipedia.org/wiki/Anderson_Silva,1,KO,Main Event,Chris Weidman,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Ronda Rousey,Miesha Tate,https://en.wikipedia.org/wiki/UFC_168,Miesha Tate,Ronda Rousey,Ronda Rousey,Miesha Tate,Women's Bantamweight,Ronda Rousey (c),def,Miesha Tate,Submission (armbar),3.0,0:58,For the UFC Women's Bantamweight Championship.,Main card,https://en.wikipedia.org/wiki/Ronda_Rousey,https://en.wikipedia.org/wiki/Miesha_Tate,2,Sub,Main Event,Ronda Rousey,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Travis Browne,Josh Barnett,https://en.wikipedia.org/wiki/UFC_168,Josh Barnett,Travis Browne,Travis Browne,Josh Barnett,Heavyweight,Travis Browne,def,Josh Barnett,KO (elbows),1.0,1:00,,Main card,https://en.wikipedia.org/wiki/Travis_Browne,https://en.wikipedia.org/wiki/Josh_Barnett,3,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Jim Miller,Fabrício Camões,https://en.wikipedia.org/wiki/UFC_168,Fabricio Camoes,Jim Miller,Jim Miller,Fabricio Camoes,Lightweight,Jim Miller,def,Fabrício Camões,Submission (armbar),1.0,3:42,,Main card,https://en.wikipedia.org/wiki/Jim_Miller_(fighter),https://en.wikipedia.org/wiki/Fabr%C3%ADcio_Cam%C3%B5es,4,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Dustin Poirier,Diego Brandao,https://en.wikipedia.org/wiki/UFC_168,Diego Brandao,Dustin Poirier,Dustin Poirier,Diego Brandao,Catchweight (151.5 lbs),Dustin Poirier,def,Diego Brandao,TKO (punches),1.0,4:54,,Main card,https://en.wikipedia.org/wiki/Dustin_Poirier,https://en.wikipedia.org/wiki/Diego_Brandao,5,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Uriah Hall,Chris Leben,https://en.wikipedia.org/wiki/UFC_168,Chris Leben,Uriah Hall,Uriah Hall,Chris Leben,Middleweight,Uriah Hall,def,Chris Leben,TKO (retirement),1.0,5:00,This bout aired on the broadcast following the Browne vs Barnett bout.,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Uriah_Hall,https://en.wikipedia.org/wiki/Chris_Leben,6,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Michael Johnson,Gleison Tibau,https://en.wikipedia.org/wiki/UFC_168,Gleison Tibau,Michael Johnson,Michael Johnson,Gleison Tibau,Lightweight,Michael Johnson,def,Gleison Tibau,KO (punches),2.0,1:32,This bout aired on the broadcast following the Miller vs Camoes bout.,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Michael_Johnson_(fighter),https://en.wikipedia.org/wiki/Gleison_Tibau,7,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
William Macário,Bobby Voelker,https://en.wikipedia.org/wiki/UFC_168,Bobby Voelker,William Macario,William Macario,Bobby Voelker,Welterweight,William Macário,def,Bobby Voelker,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (Online),https://en.wikipedia.org/wiki/William_Mac%C3%A1rio,https://en.wikipedia.org/wiki/Bobby_Voelker,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Dennis Siver,Manvel Gamburyan,https://en.wikipedia.org/wiki/UFC_168,Dennis Siver,Manny Gamburyan,Dennis Siver,Manny Gamburyan,Featherweight,Dennis Siver,vs,Manvel Gamburyan,No Contest (overturned),3.0,5:00,"Originally ruled a unanimous decision (29–28, 29–28, 29–28) victory for Siver , the result was changed to ""No Contest"" after Siver tested positive for a banned substance during a post fight screening.[12]",Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Dennis_Siver,https://en.wikipedia.org/wiki/Manvel_Gamburyan,8,,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Robbie Peralta,Estevan Payan,https://en.wikipedia.org/wiki/UFC_168,Estevan Payan,Robert Peralta,Robert Peralta,Estevan Payan,Featherweight,Robbie Peralta,def,Estevan Payan,KO (punches),3.0,0:12,,Preliminary card (Online),https://en.wikipedia.org/wiki/Robbie_Peralta,https://en.wikipedia.org/wiki/Estevan_Payan,11,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706,2013-12-28,257,UFC 168: Weidman vs. Silva 2
Demetrious Johnson,Joseph Benavidez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Demetrious Johnson,Joseph Benavidez,Demetrious Johnson,Joseph Benavidez,Flyweight,Demetrious Johnson (c),def,Joseph Benavidez,KO (punch),1.0,2:08,For the UFC Flyweight Championship,Main Card (Fox),https://en.wikipedia.org/wiki/Demetrious_Johnson_(fighter),https://en.wikipedia.org/wiki/Joseph_Benavidez,1,KO,Main Event,Demetrious Johnson,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Chad Mendes,Nik Lentz,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Chad Mendes,Nik Lentz,Chad Mendes,Nik Lentz,Featherweight,Chad Mendes,def,Nik Lentz,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Chad_Mendes,https://en.wikipedia.org/wiki/Nik_Lentz,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Joe Lauzon,Mac Danzig,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Joe Lauzon,Mac Danzig,Joe Lauzon,Mac Danzig,Lightweight,Joe Lauzon,def,Mac Danzig,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main Card (Fox),https://en.wikipedia.org/wiki/Joe_Lauzon,https://en.wikipedia.org/wiki/Mac_Danzig,4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Bobby Green,Pat Healy,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Bobby Green,Pat Healy,Bobby Green,Pat Healy,Lightweight,Bobby Green,def,Pat Healy,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Bobby_Green_(fighter),https://en.wikipedia.org/wiki/Pat_Healy_(fighter),7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Abel Trujillo,Roger Bowling,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Abel Trujillo,Roger Bowling,Abel Trujillo,Roger Bowling,Lightweight,Abel Trujillo,def,Roger Bowling,TKO (punches),2.0,1:35,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Abel_Trujillo,https://en.wikipedia.org/wiki/Roger_Bowling_(fighter),10,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Alptekin Özkılıç,Darren Uyenoyama,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Alptekin Ozkilic,Darren Uyenoyama,Alptekin Ozkilic,Darren Uyenoyama,Flyweight,Alptekin Özkılıç,def,Darren Uyenoyama,"Decision (split) (30–27, 28–29, 29–28)",3.0,5:00,,Preliminary card (Online),https://en.wikipedia.org/wiki/Alptekin_%C3%96zk%C4%B1l%C4%B1%C3%A7,https://en.wikipedia.org/wiki/Darren_Uyenoyama,11,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Urijah Faber,Michael McDonald,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Michael McDonald,Urijah Faber,Urijah Faber,Michael McDonald,Bantamweight,Urijah Faber,def,Michael McDonald,Submission (guillotine choke),2.0,3:22,,Main Card (Fox),https://en.wikipedia.org/wiki/Urijah_Faber,https://en.wikipedia.org/wiki/Michael_McDonald_(mixed_martial_artist),2,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Ryan LaFlare,Court McGee,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Court McGee,Ryan Laflare,Ryan Laflare,Court McGee,Welterweight,Ryan LaFlare,def,Court McGee,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Ryan_LaFlare,https://en.wikipedia.org/wiki/Court_McGee,5,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Edson Barboza,Danny Castillo,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Danny Castillo,Edson Barboza,Edson Barboza,Danny Castillo,Lightweight,Edson Barboza,def,Danny Castillo,"Decision (majority) (29–28, 29–28, 28–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Edson_Barboza,https://en.wikipedia.org/wiki/Danny_Castillo,6,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
Zach Makovsky,Scott Jorgensen,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Scott Jorgensen,Zach Makovsky,Zach Makovsky,Scott Jorgensen,Flyweight,Zach Makovsky,def,Scott Jorgensen,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Zach_Makovsky,https://en.wikipedia.org/wiki/Scott_Jorgensen,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2
